time,id,storage
1685691276933573,SUB11,10
1685691276933597,SUB12,10
1685691276933622,SUB13,0
1685691277932312,SUB3,0
1685691277932356,SUB8,0
1685691277932381,SUB11,10
1685691277932404,SUB12,10
1685691277932431,SUB13,0
1685691278126812,SUB2,0
1685691278126947,SUB3,0
1685691278127030,SUB4,6
1685691278127149,SUB5,6
1685691278127286,SUB11,10
1685691278127335,SUB12,10
1685691278127535,SUB2,0
1685691278127596,SUB3,0
1685691278127654,SUB4,5
1685691278127882,SUB5,5
1685691278128875,SUB11,10
1685691278938672,SUB4,6
1685691278938907,SUB9,0
1685691278938976,SUB11,11
1685691278939022,SUB12,11
1685691278939182,SUB13,0
1685691279942844,SUB5,6
1685691279943423,SUB10,0
1685691279943434,SUB11,12
1685691279943477,SUB12,12
1685691279943739,SUB13,0
1685691281951540,SUB11,11
1685691281951615,SUB12,11
1685691281951727,SUB13,0
1685691282949835,SUB2,0
1685691282949870,SUB7,0
1685691282949882,SUB11,10
1685691282949908,SUB12,10
1685691282949940,SUB13,0
1685691283133064,SUB2,0
1685691283133156,SUB3,0
1685691283133248,SUB4,6
1685691283133340,SUB5,6
1685691283133398,SUB11,10
1685691283133425,SUB12,10
1685691283133529,SUB2,0
1685691283133566,SUB3,0
1685691283133602,SUB4,5
1685691283133759,SUB5,5
1685691283955844,SUB3,0
1685691283956038,SUB8,0
1685691283956106,SUB11,10
1685691283956153,SUB12,10
1685691283956254,SUB13,0
1685691284959336,SUB4,6
1685691284959612,SUB9,0
1685691284959662,SUB11,11
1685691284959706,SUB12,11
1685691284959865,SUB13,0
1685691285963832,SUB5,6
1685691285964366,SUB10,0
1685691285964379,SUB11,12
1685691285964391,SUB12,12
1685691285964593,SUB13,0
1685691287970840,SUB11,11
1685691287970989,SUB12,11
1685691287971170,SUB13,0
1685691288138113,SUB2,0
1685691288138169,SUB3,0
1685691288138218,SUB4,6
1685691288138277,SUB5,6
1685691288138313,SUB11,10
1685691288138330,SUB12,10
1685691288138393,SUB2,0
1685691288138415,SUB3,0
1685691288138437,SUB4,5
1685691288138730,SUB5,5
1685691288973854,SUB2,0
1685691288973886,SUB7,0
1685691288973897,SUB11,10
1685691288973922,SUB12,10
1685691288973945,SUB13,0
1685691289976761,SUB3,0
1685691289976814,SUB8,0
1685691289976829,SUB11,10
1685691289976846,SUB12,10
1685691289976879,SUB13,0
1685691290981164,SUB4,0
1685691290981352,SUB9,0
1685691290981432,SUB11,11
1685691290981539,SUB12,11
1685691290981757,SUB13,0
1685691291981268,SUB5,6
1685691291982043,SUB10,0
1685691291982062,SUB11,12
1685691291982081,SUB12,12
1685691291982341,SUB13,0
1685691293143906,SUB2,0
1685691293144101,SUB3,0
1685691293144188,SUB4,0
1685691293144299,SUB5,6
1685691293144381,SUB11,11
1685691293144437,SUB12,11
1685691293144608,SUB2,0
1685691293144663,SUB3,0
1685691293144716,SUB4,0
1685691293144768,SUB5,5
1685691293992251,SUB11,10
1685691293992347,SUB12,10
1685691293992454,SUB13,0
1685691294995501,SUB2,0
1685691294995626,SUB7,0
1685691294995667,SUB11,10
1685691294995736,SUB12,10
1685691294995808,SUB13,0
1685691295998528,SUB3,0
1685691295998557,SUB8,0
1685691295998566,SUB11,10
1685691295998579,SUB12,10
1685691295998615,SUB13,0
1685691297002381,SUB4,1
1685691297002456,SUB9,0
1685691297002469,SUB11,11
1685691297002478,SUB12,11
1685691297002516,SUB13,0
1685691298011925,SUB5,6
1685691298014510,SUB10,0
1685691298014569,SUB11,12
1685691298014628,SUB12,12
1685691298015548,SUB13,0
1685691298150336,SUB2,0
1685691298150379,SUB3,0
1685691298150402,SUB4,1
1685691298150414,SUB5,6
1685691298150427,SUB11,11
1685691298150443,SUB12,11
1685691298150494,SUB2,0
1685691298150509,SUB3,0
1685691298150523,SUB4,1
1685691300015555,SUB11,11
1685691300015637,SUB12,11
1685691300015754,SUB13,0
1685691301019109,SUB2,0
1685691301019239,SUB7,0
1685691301019278,SUB11,10
1685691301019324,SUB12,10
1685691301019408,SUB13,0
1685691302022141,SUB3,0
1685691302022215,SUB8,0
1685691302022223,SUB11,10
1685691302022232,SUB12,10
1685691302022250,SUB13,0
1685691303025301,SUB4,0
1685691303025350,SUB9,0
1685691303025362,SUB11,11
1685691303025387,SUB12,11
1685691303025429,SUB13,0
1685691303156556,SUB2,0
1685691303156667,SUB3,0
1685691303156714,SUB4,0
1685691303156734,SUB5,6
1685691303156779,SUB11,11
1685691303156803,SUB12,11
1685691303156885,SUB2,0
1685691303156915,SUB3,0
1685691303156943,SUB4,0
1685691304029709,SUB5,6
1685691304030343,SUB10,0
1685691304030394,SUB11,12
1685691304030426,SUB12,12
1685691304030761,SUB13,0
1685691306037524,SUB11,11
1685691306037636,SUB12,11
1685691306037816,SUB13,0
1685691307037775,SUB2,0
1685691307037847,SUB7,0
1685691307037871,SUB11,10
1685691307037898,SUB12,10
1685691307037973,SUB13,0
1685691308042589,SUB3,0
1685691308042736,SUB8,0
1685691308042777,SUB11,10
1685691308042821,SUB12,10
1685691308042923,SUB13,0
1685691308162635,SUB2,0
1685691308162701,SUB3,0
1685691308162761,SUB4,0
1685691308162779,SUB5,6
1685691308162802,SUB11,10
1685691308162821,SUB12,10
1685691308162889,SUB2,0
1685691308162914,SUB3,0
